"","syote","n","vastine","vastine2","vastine3","puuttuu","loytyva","loytyva2"
"1","perushoitaja",1317,NA,NA,NA,TRUE,"","Perushoitajat, lähihoitajat ym.|Perushoitajat, lähihoitajat ym.|Perushoitajat ja lähihoitajat|Perushoitajat ja lähihoitajat|Perushoitajat ja lähihoitajat|Perushoitajat ja lähihoitajat|Perushoitajat, lähihoitajat ym."
"2","laitoshuoltaja",1280,NA,NA,NA,TRUE,"",""
"3","toimistosihteeri",1027,NA,NA,NA,TRUE,"Toimistosihteerit (terveydenhuolto) Toimistosihteerit (terveydenhuolto)",""
"4","lehtori",1019,NA,NA,NA,TRUE,"Lehtorit ja yliassistentit (yliopisto) Lehtorit (AMK)","Aineenopettajat ja lehtorit|Lehtorit ja yliassistentit|Ammattikorkeakoulujen yliopettajat ja lehtorit|Ammattikorkeakoulujen yliopettajat ja lehtorit|Ammattikorkeakoulujen yliopettajat ja lehtorit|Aineenopettajat ja lehtorit|Ammatillisten oppilaitosten lehtorit|Aineenopettajat ja lehtorit|Peruskoulun ja lukion lehtorit ja tuntiopettajat|Muut peruskoulun ja lukion lehtorit ja tuntiopettajat|Aineenopettajat ja lehtorit|Peruskoulun ja lukion lehtorit ja tuntiopettajat|Muut peruskoulun ja lukion lehtorit ja tuntiopettajat|Aineenopettajat ja lehtorit"
"5","osastonsihteeri",612,NA,NA,NA,TRUE,"",""
"6","kodinhoitaja",490,NA,NA,NA,TRUE,"Lähihoitajat, muut terveydenhuollon työntekijät ja kodinhoitajat Lähihoitajat, muut terveydenhuollon työntekijät ja kodinhoitajat Lähihoitajat, muut terveydenhuollon työntekijät ja kodinhoitajat Kodinhoitajat (kotipalvelutoiminta)","Perus- ja lähihoitajat, lasten- ja kodinhoitajat ym.|Perus- ja lähihoitajat, lasten- ja kodinhoitajat ym.|Perus- ja lähihoitajat, lasten- ja kodinhoitajat ym.|Kodinhoitajat, henkilökohtaiset avustajat ym.|Perus- ja lähihoitajat, lasten- ja kodinhoitajat ym.|Kodinhoitajat, henkilökohtaiset avustajat ym.|Kodinhoitajat ja kotiavustajat|Perus- ja lähihoitajat, lasten- ja kodinhoitajat ym."
"7","erityisluokanopettaja",312,NA,NA,NA,TRUE,"",""
"8","ruokapalvelutyöntekijä",306,NA,NA,NA,TRUE,"",""
"9","koulunkäynninohjaaja",290,NA,NA,NA,TRUE,"",""
"10","rehtori",286,NA,NA,NA,TRUE,"","Opetusalan johtajat ja rehtorit"
"11","päivähoitaja",282,NA,NA,NA,TRUE,"Perhepäivähoitajat","Perhepäivähoitajat ym.|Perhepäivähoitajat ym."
